# 6746 - ARONDO
6746 = {	# 6746 - ARONDO
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 6775 - WOMPU
6775 = {	# 6775 - WOMPU
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 6776 - JOWOL
6776 = {	# 6776 - JOWOL
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 6777 - NGOPPUGU
6777 = {	# 6777 - NGOPPUGU
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 6778 - SILLA
6778 = {	# 6778 - SILLA
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 6779 - BAKEL
6779 = {	# 6779 - BAKEL
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 6780 - OGO
6780 = {	# 6780 - OGO
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 6781 - PODOR
6781 = {	# 6781 - PODOR
	
	# Misc
	culture = pulaar
	religion = west_african_roog_pagan
	
	# History
	

}

# 6782 - TAKRUR
6782 = {	# 6782 - TAKRUR
	
	# Misc
	culture = pulaar
	religion = west_african_roog_pagan
	
	# History
	

}

# 6783 - WAALO
6783 = {	# 6783 - WAALO
	
	# Misc
	culture = pulaar
	religion = west_african_roog_pagan
	
	# History
	

}

# 6784 - WARAM
6784 = {	# 6784 - WARAM
	
	# Misc
	culture = pulaar
	religion = west_african_roog_pagan
	
	# History
	

}

# 6785 - AWLIL
6785 = {	# 6785 - AWLIL
	
	# Misc
	culture = pulaar
	religion = west_african_roog_pagan
	
	# History
	

}

# 6786 - CUBALEL
6786 = {	# 6786 - CUBALEL
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 6787 - DAGANA
6787 = {	# 6787 - DAGANA
	
	# Misc
	culture = pulaar
	religion = west_african_roog_pagan
	
	# History
	

}

# 6797 - DHRAINA
6797 = {	# 6797 - DHRAINA
	
	# Misc
	culture = pulaar
	religion = west_african_roog_pagan
	
	# History
	

}

# 6798 - ANATE
6798 = {	# 6798 - ANATE
	
	# Misc
	culture = pulaar
	religion = west_african_roog_pagan
	
	# History
	

}

# 6800 - GALAM
6800 = {	# 6800 - GALAM
	
	# Misc
	culture = soninke
	religion = west_african_pagan
	#religion = west_african_bida_pagan
	
	# History
	

}

# 8251 - TYENG
8251 = {	# 8251 - TYENG
	
	# Misc
	culture = wolof
	religion = west_african_roog_pagan
	
	# History

}

